scaler,best_model,best_test_mse,best_test_r2
standard,RandomForest,55237.116448969275,0.9727687205999181
minmax,RandomForest,56108.85221887602,0.9723389646343744
robust,RandomForest,58929.02889496515,0.9709486491370923
power,RandomForest,55194.886930188266,0.9727895392794362
quantile,RandomForest,57400.02365946612,0.9717024315835481
