feature,importance_mean,importance_std
escape_velocity,536632.5269145443,20769.91856129144
stellar_planet_mass_ratio,320637.5443098626,9340.045918717702
mass_radius_ratio,255095.51995947558,17452.084580508934
hill_sphere,52658.515515187144,3464.9465383715783
pl_rade_cubed,34922.857222838014,545.5408768553707
orbital_velocity,19472.084229925127,3446.740600307287
radius_period_interaction,18495.047265668454,2110.9307273410855
pl_orbper,18189.40701516498,1086.7941876041107
pl_rade_squared,15347.368968119757,1355.9046760358472
log_orbital_period,13862.904452596142,1428.8371828977954
pl_orbper_cubed,13453.36550923336,348.19881589507884
pl_rade,12977.440545310421,438.83343665108174
pl_orbsmax,4326.413328831106,378.0835141815835
disc_year,3588.421383790126,83.88484210190417
discoverymethod,2839.3207303887393,1984.9389512939904
sqrt_orbital_distance,2630.8139001393283,275.8578437787166
sy_dist,1920.4756222956203,946.7021565048487
distance_category,1869.4930516389115,300.24357037480604
st_teff,1723.5252570788482,374.3038437769508
pl_eqt,1261.4237833034979,105.45013031568155
mass_temp_interaction,1081.2319010885549,843.6574347795275
planet_star_temp_ratio,888.602789682278,1617.1903204907578
pl_dens,432.38410609796847,49.53328135023344
st_rad,342.23700667738495,510.84456596663784
log_planet_density,320.10684216816054,78.10097287125178
density_ratio,249.08493781363117,55.40848219180984
st_age,193.87721488853276,150.4200417008279
st_met,49.74504821931138,233.92591293456607
st_dens,-38.79066427329477,21.083147987255714
stellar_age_category,-112.32240900396089,22.539710670951546
pl_orbper_squared,-454.4872003395188,1269.4435282352338
st_mass_squared,-1098.846626977812,577.2662347557708
st_mass,-1359.8571652629446,711.2633479363213
st_mass_cubed,-1429.8221595251573,569.0648111336887
stellar_mass_metallicity,-3046.139218576313,1283.8863007583168
