discovery_method,count
Transit,3385
Radial Velocity,2592
Microlensing,700
Imaging,132
Transit Timing Variations,43
Eclipse Timing Variations,24
Pulsar Timing,13
Orbital Brightness Modulation,8
Astrometry,5
Pulsation Timing Variations,2
Disk Kinematics,1
