feature,mean,std,min,max
pl_bmasse,711.0272259390832,1454.1812467600844,0.015,25426.4
pl_rade,9.117580100754525,4.254019047536297,0.29631048,77.3421
pl_orbper,63084.38588650388,4840519.37205325,0.090706293,402000000.0
pl_orbsmax,14.45425745047217,322.4471316462213,0.0044,19000.0
pl_eqt,1085.765979724837,313.7556132338002,34.0,4050.0
st_mass,0.9718129385952208,0.5736784031260224,0.0031,23.56
st_rad,1.654734692396814,3.8510621939602876,0.0123,88.475
st_teff,5454.674068066618,1582.061346492431,415.0,57000.0
st_met,0.06041920347574223,0.19614708595082825,-1.0,7.79
st_age,4.387813830557567,2.053809616453931,0.001,16.8
st_dens,1.9189204829833455,6.032709540454593,0.0026,187.952403
pl_dens,3.2240654547429397,41.02961822236032,0.00074,2331.0
disc_year,2013.9994207096306,6.815308896435248,1992.0,2025.0
sy_dist,735.4906874044894,1629.3192684837416,1.30119,8980.0
mass_radius_ratio,1.4553149225504447,11.978378493048647,1.734347499248126e-05,747.8270046965345
stellar_planet_mass_ratio,0.09364387247396067,1.456640234754359,3.5958126761386366e-06,70.0
orbital_velocity,2.473617481867873,1.8395272053512506,0.00485692738155962,17.837651700316894
escape_velocity,8.535557949726806,8.419021773811865,0.05611359637163637,72.23076371260761
hill_sphere,182.7876397278733,3986.8280204773787,0.003997310019363548,234064.1302362449
planet_star_temp_ratio,0.2023996381084196,0.05894685335330001,0.006136076520483667,0.9157894736842105
log_orbital_period,3.462231017512865,2.320196892149741,0.086825461625106,19.811962649070857
sqrt_orbital_distance,1.0261368518302398,3.6610437997922416,0.066332495807108,137.84048752090223
mass_temp_interaction,1090.3459223846487,765.1724575551711,3.3169999999999997,25209.199999999997
radius_period_interaction,791884.3452201873,60246526.67013483,0.107903693,5001671369.16
stellar_mass_metallicity,0.0651433871746995,0.2519176913030067,-8.5557,10.36849
pl_rade_squared,101.2243241426479,114.54891963419489,0.0877999005578304,5981.80043241
pl_rade_cubed,1317.4851775270595,6155.179554775987,0.02601603067824299,462645.0072234975
st_mass_squared,1.2734796357184126,7.437017533660483,9.61e-06,555.0735999999999
st_mass_cubed,4.3535732522340895,160.48761415970088,2.9790999999999995e-08,13077.534015999998
pl_orbper_squared,23431214146708.953,1944779054927084.8,0.008227631589801847,1.61604e+17
pl_orbper_cubed,9.408560855151475e+21,7.818011709374307e+23,0.0007462979616806221,6.4964808e+25
density_ratio,4.270723703757875,89.85154298927515,0.0005526512322628828,4866.1800486618
log_planet_density,0.9272811535891673,0.5292050759615203,0.0007397263349997445,7.754481547470383
