feature,importance
escape_velocity,0.2825699935105599
stellar_planet_mass_ratio,0.18429363384485176
mass_radius_ratio,0.17088914675326522
hill_sphere,0.07209261272462263
discoverymethod,0.02221444197231401
pl_orbsmax,0.021436878196618596
st_mass_cubed,0.01978892140379753
st_mass,0.01903374777553677
mass_temp_interaction,0.018410055091832314
st_mass_squared,0.017622523272432924
sqrt_orbital_distance,0.016467401546831618
radius_period_interaction,0.014943118293770572
pl_rade_cubed,0.014816290261956808
orbital_velocity,0.01407838299013974
pl_rade_squared,0.013397151055274736
pl_rade,0.010272460214018382
pl_orbper,0.009853504788279755
log_orbital_period,0.009540106038142336
stellar_mass_metallicity,0.008747312046223928
pl_orbper_cubed,0.008577451582597425
sy_dist,0.00686763987551044
st_rad,0.005968874739175102
pl_orbper_squared,0.005779636636482261
planet_star_temp_ratio,0.004803622599600927
disc_year,0.0046280807402430055
log_planet_density,0.0035918487426596264
st_teff,0.0033373297625718273
st_met,0.003021591944364299
pl_dens,0.0027873032384527928
st_age,0.0024495214339472268
distance_category,0.0024161496774567667
pl_eqt,0.00221854109526146
density_ratio,0.0018961742630431897
stellar_age_category,0.0007766924928453551
st_dens,0.0004118593953187886
