feature,correlation
st_mass,0.2790035984614243
st_rad,0.2402860783508302
pl_rade,0.16772168876960808
st_age,0.14119450812024512
pl_orbsmax,0.11723007077294396
pl_dens,0.11318283275243485
pl_eqt,0.1094203745815153
st_teff,0.06592162823840124
disc_year,0.03577642182120982
st_dens,0.034328079797785536
pl_orbper,0.012739040504939075
sy_dist,0.005830282393455756
st_met,0.003929443620619878
