,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,st_mass,st_rad,st_teff,st_met,st_age,st_dens,pl_dens,disc_year,sy_dist
pl_bmasse,1.0,0.16772168876960808,0.012739040504939075,0.11723007077294396,0.1094203745815153,0.2790035984614243,0.2402860783508302,0.06592162823840124,0.003929443620619878,-0.14119450812024512,-0.034328079797785536,0.11318283275243485,-0.03577642182120982,-0.005830282393455756
pl_rade,0.16772168876960808,1.0,0.010525561102629429,0.011929524521848938,0.3970289821449054,0.23008281052591573,0.05430014831336503,0.1566986058681237,0.11830609530251603,-0.12100800192279769,-0.12920522924871355,-0.037479776761427726,-0.1541074241776795,0.047974513861499715
pl_orbper,0.012739040504939075,0.010525561102629429,1.0,0.2802212322453719,-0.023591537258668995,-0.012933736456859688,-0.004138182656506245,-0.01643193453003586,-0.003671968238692649,-0.024246824962213653,-0.0012363759353895638,-0.0006079351627556158,0.01248564993670116,-0.005715217937620285
pl_orbsmax,0.11723007077294396,0.011929524521848938,0.2802212322453719,1.0,0.0281671445526132,-0.0025864368865321234,-0.006571260856446014,-0.005317337436093243,-0.03255736766228572,-0.0680431250455043,-0.004186355125904484,-0.002060067458037615,0.03718554017954497,-0.016011766351526853
pl_eqt,0.1094203745815153,0.3970289821449054,-0.023591537258668995,0.0281671445526132,1.0,0.1955033562148117,0.030500111010607043,0.19228482071682684,0.09439165348627321,-0.1450417872872494,-0.11939074596025216,-0.008370153944732542,-0.09462514902310872,0.012749176265169694
st_mass,0.2790035984614243,0.23008281052591573,-0.012933736456859688,-0.0025864368865321234,0.1955033562148117,1.0,0.37338176690880004,0.13991026184471556,0.05712627961691607,-0.10555208729377318,-0.1252319132128894,-0.007871846900996184,-0.154595892224181,-0.24125797694617288
st_rad,0.2402860783508302,0.05430014831336503,-0.004138182656506245,-0.006571260856446014,0.030500111010607043,0.37338176690880004,1.0,-0.06524109319781182,-0.1535648778419144,-0.04034516230352104,-0.03910612086626628,-0.007470391848012614,-0.01631402524571581,-0.03572128169486262
st_teff,0.06592162823840124,0.1566986058681237,-0.01643193453003586,-0.005317337436093243,0.19228482071682684,0.13991026184471556,-0.06524109319781182,1.0,0.07202436569373351,-0.057852028472482865,0.24668640180939214,-0.0006186078541710569,-0.06815056526572258,0.044724775798717295
st_met,0.003929443620619878,0.11830609530251603,-0.003671968238692649,-0.03255736766228572,0.09439165348627321,0.05712627961691607,-0.1535648778419144,0.07202436569373351,1.0,-0.07612763264598747,-0.02925519879702339,-0.01850317396748839,-0.09681799345170429,0.017548458867967832
st_age,-0.14119450812024512,-0.12100800192279769,-0.024246824962213653,-0.0680431250455043,-0.1450417872872494,-0.10555208729377318,-0.04034516230352104,-0.057852028472482865,-0.07612763264598747,1.0,0.0013255040450335107,0.011485165003089144,0.06625530469655447,-0.03276268627623943
st_dens,-0.034328079797785536,-0.12920522924871355,-0.0012363759353895638,-0.004186355125904484,-0.11939074596025216,-0.1252319132128894,-0.03910612086626628,0.24668640180939214,-0.02925519879702339,0.0013255040450335107,1.0,-0.0006799938073240866,0.0367104087125744,-0.0333262105431412
pl_dens,0.11318283275243485,-0.037479776761427726,-0.0006079351627556158,-0.002060067458037615,-0.008370153944732542,-0.007871846900996184,-0.007470391848012614,-0.0006186078541710569,-0.01850317396748839,0.011485165003089144,-0.0006799938073240866,1.0,0.019865457833803692,-0.0027105204942843393
disc_year,-0.03577642182120982,-0.1541074241776795,0.01248564993670116,0.03718554017954497,-0.09462514902310872,-0.154595892224181,-0.01631402524571581,-0.06815056526572258,-0.09681799345170429,0.06625530469655447,0.0367104087125744,0.019865457833803692,1.0,0.2848275886056257
sy_dist,-0.005830282393455756,0.047974513861499715,-0.005715217937620285,-0.016011766351526853,0.012749176265169694,-0.24125797694617288,-0.03572128169486262,0.044724775798717295,0.017548458867967832,-0.03276268627623943,-0.0333262105431412,-0.0027105204942843393,0.2848275886056257,1.0
