metric,individual_model,ensemble_model
MSE,55194.886930188266,52167.89881476718
RMSE,234.93592090225,228.40293083664048
MAE,68.4624149886678,62.895524456302965
R²,0.9727895392794362,0.9742818104986971
MAPE,1.5092997976636386,1.2680666713559399
Residual_Mean,-6.172900718913987,-5.231276102411435
Residual_Std,234.85481095115486,228.34301514411933
PI_95,257.8783280223661,219.428111278271
PI_90,116.53751477235573,108.67781941451449
