sample_id,actual_value,individual_prediction,ensemble_prediction,individual_error,ensemble_error,individual_abs_error,ensemble_abs_error,individual_squared_error,ensemble_squared_error
0,22.947326,62.66778343856007,55.97131545472532,-39.720457438560075,-33.023989454725324,39.720457438560075,33.023989454725324,1577.7147391284625,1090.5838795058094
1,684.4,1272.0635928181712,1351.9828201013884,-587.6635928181712,-667.5828201013884,587.6635928181712,667.5828201013884,345348.49832396134,445666.8216945227
2,1.18,16.91926460168989,14.235667489773794,-15.73926460168989,-13.055667489773795,15.73926460168989,13.055667489773795,247.7244502020084,170.45045360353637
3,1.91,9.025043918920247,7.444151800784638,-7.115043918920247,-5.534151800784638,7.115043918920247,5.534151800784638,50.62384996816398,30.626836154127854
4,1.43,29.130240418383522,23.219105180023426,-27.700240418383522,-21.789105180023427,27.700240418383522,21.789105180023427,767.3033192362482,474.7651045461237
5,0.7,23.187075478909474,18.719304424007948,-22.487075478909475,-18.01930442400795,22.487075478909475,18.01930442400795,505.66856359417176,324.6953319250724
6,4703.8604236,5022.874544599604,4994.66262143758,-319.0141209996036,-290.80219783758,319.0141209996036,290.80219783758,101770.00939714974,84565.91826716703
7,381.396,340.2226651583627,345.7619796032342,41.17333484163731,35.634020396765834,41.17333484163731,35.634020396765834,1695.243501981585,1269.7834096371234
8,140.16232749,181.68557501553704,174.7619000162221,-41.523247525537045,-34.59957252622212,41.523247525537045,34.59957252622212,1724.1800850670184,1197.1304189973043
9,169.72122,144.68986554186242,148.3642182823623,25.03135445813757,21.3570017176377,25.03135445813757,21.3570017176377,626.5687060089236,456.1215223671797
10,75.2,122.78950763105443,111.88007296446942,-47.58950763105443,-36.68007296446942,47.58950763105443,36.68007296446942,2264.761236566188,1345.4277526788003
11,16.5,20.27491299484761,20.219872101565073,-3.774912994847611,-3.7198721015650733,3.774912994847611,3.7198721015650733,14.24996811866936,13.837448452002155
12,10.1,32.855650848565126,30.662256399018656,-22.755650848565125,-20.562256399018658,22.755650848565125,20.562256399018658,517.8196455418027,422.8063882189837
13,572.07,514.8327317936728,540.0996151386424,57.23726820632726,31.970384861357616,57.23726820632726,31.970384861357616,3276.104871723041,1022.1055081833242
14,6.27,11.332668352595972,10.249984988500492,-5.062668352595972,-3.979984988500492,5.062668352595972,3.979984988500492,25.63061084837682,15.840280508689261
15,794.5,731.0083469167054,742.9211970201598,63.491653083294636,51.57880297984025,63.491653083294636,51.57880297984025,4031.1900112494372,2660.372916833177
16,26.78,27.214671895099315,28.10937469342059,-0.4346718950993136,-1.32937469342059,0.4346718950993136,1.32937469342059,0.1889396563892287,1.7672370755070874
17,127.1313628,140.04922310013,136.32873987869442,-12.917860300130002,-9.197377078694416,12.917860300130002,9.197377078694416,166.87111473367477,84.59174512769343
18,5.55,30.321735940638973,24.988180908364413,-24.771735940638973,-19.438180908364412,24.771735940638973,19.438180908364412,613.6389015127446,377.84287702630274
19,672.20708081,784.2829762688182,791.9731821708101,-112.0758954588182,-119.76610136081013,112.0758954588182,119.76610136081013,12561.006342895946,14343.919035167844
20,263.7989,267.70017355660804,278.77168052308696,-3.9012735566080323,-14.972780523086954,3.9012735566080323,14.972780523086954,15.219935363489085,224.18415659253202
21,11.67,28.54617865749889,25.609733997563882,-16.87617865749889,-13.939733997563883,16.87617865749889,13.939733997563883,284.80540607982107,194.31618392283835
22,3264.0,3280.502639750535,3274.823644964896,-16.502639750534854,-10.823644964896175,16.502639750534854,10.823644964896175,272.3371187359331,117.15129032612232
23,198.318,207.92452586559233,204.97620063902644,-9.606525865592317,-6.6582006390264326,9.606525865592317,6.6582006390264326,92.28533920629422,44.331635749532
24,27.0,25.68052747470483,25.784931009870412,1.3194725252951685,1.2150689901295877,1.3194725252951685,1.2150689901295877,1.741007745008809,1.476392650774536
25,217.704,229.9901346906221,227.67736642216573,-12.286134690622106,-9.973366422165725,12.286134690622106,9.973366422165725,150.94910563610796,99.46803779078276
26,203.41018048,221.64433089052466,215.8995233239732,-18.23415041052465,-12.48934284397319,18.23415041052465,12.48934284397319,332.4842411936362,155.98368467430436
27,72.78,86.46778123394942,80.87957795350232,-13.687781233949423,-8.099577953502319,13.687781233949423,8.099577953502319,187.35535510845799,65.60316302486082
28,19.1,16.57793169253942,16.68949593888323,2.5220683074605823,2.4105040611167716,2.5220683074605823,2.4105040611167716,6.3608285474970865,5.8105298286604485
29,11.3,17.901780652392222,17.0005325652723,-6.601780652392222,-5.700532565272301,6.601780652392222,5.700532565272301,43.583507782300266,32.49607152773
30,5.2,26.978644018058084,22.944806582962038,-21.778644018058085,-17.74480658296204,21.778644018058085,17.74480658296204,474.3093352652972,314.87816066673287
31,2.99,16.516916549355248,14.273337373873698,-13.526916549355247,-11.283337373873698,13.526916549355247,11.283337373873698,182.97747133322088,127.313702292655
32,148.738,139.4100037468122,141.68545794222933,9.327996253187791,7.0525420577706655,9.327996253187791,7.0525420577706655,87.01151409948547,49.738349476624094
33,3.72,30.11451470379515,24.601045288009168,-26.394514703795153,-20.88104528800917,26.394514703795153,20.88104528800917,696.6704064488586,436.01805231988993
34,10.0,12.41883433023671,11.913948818382448,-2.4188343302367095,-1.9139488183824476,2.4188343302367095,1.9139488183824476,5.850759517131671,3.6632000793875674
35,540.311,562.9753597863228,575.1914581655325,-22.664359786322734,-34.880458165532445,22.664359786322734,34.880458165532445,513.6732045238831,1216.6463618374592
36,1144.188,2101.671841895078,2045.7627866527685,-957.4838418950781,-901.5747866527684,957.4838418950781,901.5747866527684,916775.3074901588,812837.0959279848
